number,description,department,type,brand,unit_type
23039,New Inventory Motorcycles-Triumph,3,3,17,137
23037,New Inventory Motorcycles-KTM,3,3,14,137
23035,New Inventory Motorcycles-Ducati,3,3,11,137
23031,New Inventory Motorcycles-BMW,3,3,10,137
23029,New Inventory Motorcycles-Yamaha,3,3,8,137
23027,New Inventory Motorcycles-Suzuki,3,3,7,137
23023,New Inventory Motorcycles-Kawasaki,3,3,6,137
23021,New Inventory Motorcycles-Honda,3,3,3,137
23015,New Inventory Motorcycles-Victory,3,3,19,137
23013,New Inventory Motorcycles-Indian,3,3,46,137
23010,New Inventory HD Motorcycles,3,3,33,143
23009,New Inventory HD-LiveWire,3,3,23,171
23008,New Inventory HD-Trike,3,3,23,171
23007,New Inventory HD-CVO,3,3,23,171
23006,New Inventory HD-Street,3,3,23,171
23005,New Inventory HD-VROD,3,3,23,171
23004,New Inventory HD-Sportster,3,3,23,171
23003,New Inventory HD-Dyna,3,3,23,171
23002,New Inventory HD-Softail,3,3,23,171
23001,New Inventory HD-Touring,3,3,23,171
23000,New Inventory Motorcycles - Other,3,3,33,137
25280,Used Engines,8,3,33,152
25270,Used Trailers,8,3,33,150
25260,Used Boats,8,3,33,151
25250,Used Watercraft,8,3,33,146
25069,Used UTV - Other,8,3,33,145
25067,Used UTV - Can-Am,8,3,4,145
25065,Used UTV - Polaris,8,3,16,145
25064,Used UTV - Yamaha,8,3,8,145
25062,Used UTV - Kawasaki,8,3,6,145
25061,Used UTV - Honda,8,3,3,145
25059,Used Dirt Bikes - Other,8,3,33,139
25054,Used Dirt Bikes - Yamaha,8,3,8,139
25053,Used Dirt Bikes - Suzuki,8,3,7,139
25052,Used Dirt Bikes - Kawasaki,8,3,6,139
25051,Used Dirt Bikes - Honda,8,3,3,139
25040,Used Snowmobiles,8,3,33,194
25030,Used Scooters,8,3,33,143
25020,Used ATV,8,3,33,162
25010,Used Motorcycles,8,3,33,137
24530,Write Down  - Other,3,3,52,191
24520,Write Down - Used Units,8,3,52,175
24510,Write Down - New Units,3,3,52,175
241990,New Generator - Other,3,3,33,152
241910,New Sidecar Inventory - Harley-Davidson,3,3,23,171
241905,New Generator - Polaris,3,3,16,152
241904,New Generator - Yamaha,3,3,8,152
241902,New Generator - Kawasaki,3,3,6,152
241890,New Engines - Other,3,3,33,152
241804,New Engines - Yamaha,3,3,8,152
241802,New Engines - Kawasaki,3,3,6,152
241700,New Trailers,3,3,33,150
241690,New Boats - Other,3,3,33,151
241665,New Boat Inventory - Skeeter,3,3,33,151
241662,New Boats - VIP,3,3,33,151
241661,New Boats - Celebrity,3,3,33,151
241651,New Boats - Sea-Doo,3,3,4,146
241605,New Boats - Polaris,3,3,16,151
241604,New Boats - Yamaha,3,3,8,151
241590,New Watercraft - Other,3,3,33,146
241551,New Watercraft - Sea-Doo,3,3,4,146
241506,New Watercraft - Polaris,3,3,16,146
241504,New Watercraft - Yamaha,3,3,8,146
241502,New Watercraft - Kawasaki,3,3,6,146
241490,New Carts - Other,3,3,33,194
241451,New Snowmobiles - Ski-Doo,3,3,4,149
241442,New Carts - Martin,3,3,33,194
241441,New Carts - Carter,3,3,33,194
237090,New Scooters - Other,3,3,33,143
237035,New Scooters - E-Ton,3,3,12,143
237033,New Scooters- Derbi,3,3,33,143
237029,New Scooters - Schwinn,3,3,33,143
237031,New Scooters - Kasea,3,3,33,143
237004,New Scooters - Yamaha,3,3,8,143
237003,New Scooters - Suzuki,3,3,7,143
23669,New UTV - Other,3,3,33,145
23667,New UTV - Can-Am,3,3,4,145
23665,New UTV - Polaris,3,3,16,145
23664,New UTV - Yamaha,3,3,8,145
23662,New UTV - Kawasaki,3,3,6,145
23661,New UTV - Honda,3,3,3,145
236090,New ATV - Other,3,3,33,162
236051,New ATV - Can-Am,3,3,4,162
236035,New ATV - Redline,3,3,33,162
236030,New ATV Inventory - E-TON,3,3,12,162
236020,New ATV Inventory - Kasea,3,3,33,162
236008,New ATV - KTM,3,3,14,162
236007,New ATV - Excelsior,3,3,33,162
236006,New ATV - Polaris,3,3,16,162
236005,New ATV - BMW,3,3,10,137
236004,New ATV - Yamaha,3,3,8,162
236003,New ATV - Suzuki,3,3,7,162
236002,New ATV - Kawasaki,3,3,6,162
23559,New Dirt Bikes - Other,3,3,33,139
23554,New Dirt Bikes - Yamaha,3,3,8,139
23553,New Dirt Bikes - Suzuki,3,3,7,139
23552,New Dirt Bikes - Kawasaki,3,3,6,139
23551,New Dirt Bikes - Honda,3,3,3,139
235030,New Trike Inventory - Lehman,3,3,103,169
235029,New Motorcycle Inventory - Can-Am,3,3,4,169
235027,New Motorcycle Inventory - UPC,3,3,33,137
235023,New Motorcycle Inventory - SDG,3,3,33,137
235022,New Motorcycle Inventory - Derbi,3,3,33,137
235021,New Motorcycle Inventory - Cannondale,3,3,33,137
235020,New Motorcycle Inventory - Kasea,3,3,33,137
235019,New Motorcycle Inv. - American Performan,3,3,33,137
235018,New Motorcycle Inventory - Big Dog,3,3,33,137
235016,New Motorcycle Inventory - Indian,3,3,3,137
235014,New Motorcycles Inventory - Laverda,3,3,33,137
235015,New Motorcycle Inventory - Buell,3,3,33,137
235017,New Motorcycle Inventory - Iron Horse,3,3,33,137
235013,New Motorcycle Inventory - Bourget,3,3,33,137
235090,New Motorcycles - Other,3,3,33,137
235008,New Motorcycles - KTM,3,3,14,137
235007,New Motorcycles - Excelsior,3,3,33,137
235006,New Motorcycles - Victory,3,3,19,137
235005,New Motorcycles - BMW,3,3,10,137
235004,New Motorcycles - Yamaha,3,3,8,137
235003,New Motorcycles - Suzuki,3,3,7,137
235002,New Motorcycles - Kawasaki,3,3,6,137
24840,Used Inventory GOCART-Segway,8,3,33,153
24453,Used Inventory UTV-Segway,8,3,167,145
24353,Used Inventory ATV-Segway,8,3,167,162
24253,Used Inventory Dirt Bikes-Segway,8,3,167,139
24153,Used Inventory Scooter-Segway,8,3,167,143
23840,New Inventory GOCART-Segway,3,3,33,153
23453,New Inventory UTV-Segway,3,3,167,145
23353,New Inventory ATV-Segway,3,3,167,162
23253,New Inventory Dirt Bikes-Segway,3,3,167,139
23153,New Inventory Scooter-Segway,3,3,167,143
24573,Used Inventory Boats-Ranger,8,3,33,151
24571,Used Inventory Boats-TideWater,8,3,33,151
24569,Used Inventory Boats-Manitou,8,3,78,151
24567,Used Inventory Boats-Alumcraft,8,3,82,151
24565,Used Inventory Boats-Mercury Marine,8,3,86,151
24563,Used Inventory Boats-Wellcraft,8,3,33,151
24447,Used Inventory UTV-Speed,8,3,33,145
24533,Used Inventory UTV-BRP,8,3,33,151
24449,Used Inventory UTV-CFMoto,8,3,33,145
24349,Used Inventory ATV-CFMoto,8,3,33,162
24345,Used Inventory ATV-Kayo,8,3,131,162
24245,Used Inventory Dirt Bikes-Kayo,8,3,131,139
24051,Used Inventory Motorcycles-Zero,8,3,45,140
23573,New Inventory Boats-Ranger,3,3,93,151
23571,New Inventory Boats-TideWater,3,3,33,151
23569,New Inventory Boats-Manitou,3,3,78,151
23567,New Inventory Boats-Alumacraft,3,3,82,151
23565,New Inventory Boats-Mercury Marine,3,3,86,151
23563,New Inventory Boats-Wellcraft,3,3,33,151
23533,New Inventory Boats-BRP,3,3,4,151
23449,New Inventory UTV-CFMoto,3,3,44,145
23447,New Inventory UTV-SpeedUTV,3,3,33,145
23349,New Inventory ATV-CFMoto,3,3,44,162
23345,New Inventory ATV-Kayo,3,3,131,162
23245,New Inventory Dirt Bikes-Kayo,3,3,131,139
23051,New Inventory Motorcycles-Zero,3,3,45,140
24010,Used Inventory HD - Livewire,8,3,23,171
24009,Used Inventory HD-Pan Am,8,3,23,171
23010,New Inventory HD - Livewire,3,3,33,143
23009,New Inventory HD-Pan Am,3,3,23,171
23955,Demontrator Unit PREVIOUS,3,3,33,185
23950,Demonstrator / Training Unit,3,3,33,185
44200-10,New Units Wholesale Sales,3,1,33,173
44190-10,New Other Product Sales - Generators,3,1,33,152
44180-10,New Other Product Sales - Engines,3,1,33,152
44170-10,New Other Product Sales - Trailers,3,1,33,150
44160-10,New Other Product Sales - Boats,3,1,33,151
44150-10,New Other Product Sales - Watercraft,3,1,33,146
44140-10,New Other Product Sales - Snowmobiles,3,1,33,149
44109-10,VIP BOAT SALES,3,1,33,151
44108-10,New Other .Sales -,3,1,33,153
44107-10,BOAT SALES-(Formerly Bombardier see 4415,3,1,6,152
44105-10,NEW KAWASAKI GENERATOR SALES,3,1,4,149
44103-10,Trailers,3,1,33,150
44102-10,New Yamaha Generators,3,1,4,146
44101-10,SEA-DOO/YAM/KAW WATERCRAFT SALES,3,1,33,146
44000-10,Honda Power Equipment Products Sales,3,1,3,152
43669-10,New UTV Sales - Other,3,1,33,145
43667-10,New UTV Sales - Can-Am,3,1,4,145
43665-10,New UTV Sales - Polaris,3,1,16,145
43664-10,New UTV Sales - Yamaha,3,1,8,145
43662-10,New UTV Sales - Kawasaki,3,1,6,145
43661-10,New UTV Sales - Honda,3,1,3,145
43559-10,New Dirt Bike Sales - Other,3,1,33,139
43554-10,New Dirt Bike Sales - Yamaha,3,1,8,139
43553-10,New Dirt Bike Sales - Suzuki,3,1,7,139
43552-10,New Dirt Bike Sales - Kawasaki,3,1,6,139
43551-10,New Dirt Bike Sales - Honda,3,1,3,139
43102-10,Honda Dirt Motorcycles,3,1,3,139
441665-10,New Boat Sales - Skeeter,3,1,33,151
441605-10,New Boat Sales - Polaris,3,1,16,151
441910-10,New Sidecar Sales - Harley-Davidson,3,1,23,171
441905-10,New Polaris Generators - Sales,3,1,16,152
441501-10,New Watercraft Sales - Honda,3,1,3,146
437090-10,New Scooter Sales - Other,3,1,33,143
437040-10,New Scooter Sales - Lance,3,1,33,143
437035-10,New Scooter Sales - E-TON,3,1,12,143
437033-10,New Scooter Sales - Derbi,3,1,33,143
437029-10,New Scooter Sales - Schwinn,3,1,33,143
437011-10,New Scooter Sales - Sundiro,3,1,33,143
437004-10,New Scooter Sales - Yamaha,3,1,8,143
437003-10,New Scooter Sales -Suzuki,3,1,7,143
436090-10,New ATV Sales - Other,3,1,33,162
436035-10,New ATV Sales- Redline,3,1,33,162
436030-10,New ATV Sales - E-TON,3,1,12,162
436021-10,New ATV Sales - Can-Am,3,1,4,162
436020-10,New ATV Sales - Kasea,3,1,33,162
436011-10,New ATV Sales - Sundiro,3,1,33,162
436008-10,New ATV Sales - KTM,3,1,14,162
436006-10,New ATV Sales - Polaris,3,1,16,162
436004-10,New ATV Sales - Yamaha,3,1,8,162
436003-10,New ATV Sales - Suzuki,3,1,7,162
436002-10,New ATV Sales - Kawasaki,3,1,6,162
435090-10,New Motorcycle Sales - Other,3,1,33,137
435030-10,New Trike Sales - Lehman,3,1,103,169
435029-10,New Motorcycle Sales - Can-Am,3,1,4,169
435025-10,New Motorcycle Sales - Ducati,3,1,11,137
435027-10,New Motorcycle Sales - UPC,3,1,33,137
435023-10,New Motorcycle Sales - SDG,3,1,33,137
435022-10,New Motorcycle Sales - Derbi,3,1,33,137
435021-10,New Motorcycle Sales - Cannondale,3,1,33,137
435020-10,New Motorcycle Sales - Kasea,3,1,33,137
435019-10,New Motorcycle Sales - American Performa,3,1,33,137
435018-10,New Motorcycle Sales - Big Dog,3,1,33,137
435017-10,New Motorcycle Sales - Iron Horse,3,1,33,137
435016-10,New Motorcycle Sales - Indian,3,1,3,137
435015-10,New Motorcycle Sales - Buell,3,1,33,137
435014-10,New Motorcycle Sales -SLNG,3,1,33,137
435013-10,New Motorcycle Sales - Bourget,3,1,33,137
435012-10,New Motorcycle Sales - HM,3,1,33,137
435011-10,New Motorcycle Sales - Sundiro,3,1,33,137
435010-10,New Motorcycle Sales  - Harley,3,1,23,171
435009-10,New Motorcycle Sales - Triumph,3,1,17,137
435008-10,New Motorcycle Sales - KTM,3,1,14,137
435007-10,New Motorcycle Sales - Excelsior,3,1,33,137
435006-10,New Motorcycle Sales - Victory,3,1,19,137
435005-10,New Motorcycle Sales - Bmw,3,1,10,137
435004-10,New Motorcycle Sales - Yamaha,3,1,8,137
435003-10,New Motorcycle Sales - Suzuki,3,1,7,137
435002-10,New Motorcycle Sales - Kawasaki,3,1,6,137
43900-10,New Pontoons - Avalon - Sales,3,1,92,151
46200-20,Used Units Wholesale - Sales,8,1,33,173
45900-20,Used Other Products - Sales,8,1,33,153
45300-20,Used Trailers - Sales,8,1,33,150
45190-20,Used Generator - Sales,8,1,33,152
45180-20,Used Dirt Bikes - Sales,8,1,33,139
45170-20,Used Boats - Sales,8,1,33,151
45160-20,Used Power Equipment - Sales,8,1,33,152
45150-20,Used Snowmobiles - Sales,8,1,33,149
45140-20,Used Watercraft - Sales,8,1,33,146
45130-20,Used Scooters - Sales,8,1,33,143
45125-20,Used Utility-SideBySide - Sales,8,1,33,145
45120-20,Used ATVs - Sales,8,1,33,162
45110-20,Used Motorcycles - Sales,8,1,33,137
44200-10,New Units Wholesale - Sales,3,1,33,173
44100-10,New Other Products - Sales,3,1,33,153
44000-10,New Trailers - All - Sales,3,1,33,150
43840-10,SeaDoo Watercraft - Sales,3,1,4,146
43825-10,Can-Am Utility SideBySide - Sales,3,1,4,145
43820-10,Can-Am ATVs - Sales,3,1,4,162
43725-10,TEXTRON Utility SideBySide - Sales,3,1,21,145
43625-10,ARCTIC CAT Utility SideBySide - Sales,3,1,21,145
43620-10,ARCTIC CAT ATVs - Sales,3,1,21,162
43510-10,INDIAN Motorcycles - Sales,3,1,46,137
43420-10,POLARIS ATVs - Sales,3,1,16,162
43380-10,SUZUKI Dirt Bikes - Sales,3,1,7,139
43330-10,SUZUKI Scooters - Sales,3,1,7,143
43320-10,SUZUKI ATVs - Sales,3,1,7,162
43310-10,SUZUKI Motorcycles - Sales,3,1,7,137
43280-10,KAWASAKI Dirt Bikes - Sales,3,1,6,139
43225-10,KAWASAKI Utility-SideBySide - Sales,3,1,6,145
43220-10,KAWASAKI ATVs - Sales,3,1,6,162
43210-10,KAWASAKI Motorcycles - Sales,3,1,6,137
43190-10,YAMAHA Generator - Sales,3,1,8,152
43180-10,YAMAHA Dirt Bikes - Sales,3,1,8,139
43140-10,YAMAHA Watercraft - Sales,3,1,8,146
43130-10,YAMAHA Scooters - Sales,3,1,8,143
43125-10,YAMAHA Utility-SideBySide - Sales,3,1,8,145
43120-10,YAMAHA ATVs - Sales,3,1,8,162
43110-10,YAMAHA Motorcycles - Sales,3,1,8,137
40001,CPA June 30 Revenue Adjustment,3,1,52,191
43875-10,HISUN Utility Vehicle - Sales,3,1,8,145
43820-10,HISUN ATVs - Sales,3,1,8,162
46200-20,Used Units Wholesale - Sales,8,1,33,173
45950-20,Consignment Sales Fee,8,1,33,153
45900-20,Used Other  - Sales,8,1,33,153
45300-20,Used Trailers - Sales,8,1,33,150
45190-20,Used Engines - Sales,8,1,33,152
45180-20,Used Dirt Bikes - Sales,8,1,33,139
45175-20,Used Utility Vehicle - Sales,8,1,33,145
45170-20,Used Boats - Sales,8,1,33,151
45160-20,Used Power Equipment - Sales,8,1,33,152
45155-20,Used Rhino - Sales,8,1,33,145
45150-20,Used Snowmobiles - Sales,8,1,33,149
45140-20,Used Watercraft - Sales,8,1,33,146
45130-20,Used Scooters - Sales,8,1,33,143
45120-20,Used ATVs - Sales,8,1,33,162
45110-20,Used Motorcycles - Sales,8,1,33,137
44600-10,New Units Wholesale - Sales,3,1,33,173
44800-10,New Other Products - Sales,3,1,33,153
44700-10,New Trailers - All - Sales,3,1,33,150
43995-10,(Mfg #9) Trailer - Sales,3,1,8,150
43990-10,(Mfg #9) Engine - Sales,3,1,8,152
43980-10,(Mfg #9) Dirt Bikes - Sales,3,1,8,139
43975-10,(Mfg #9) Utility Vehicle - Sales,3,1,8,145
43970-10,(Mfg #9) Boats - Sales,3,1,8,151
43960-10,(Mfg #9) Power Equipment - Sales,3,1,8,152
43955-10,(Mfg #9) Rhino - Sales,3,1,8,145
43950-10,(Mfg #9) Snowmobiles - Sales,3,1,8,149
43940-10,(Mfg #9) Watercraft - Sales,3,1,8,146
43930-10,(Mfg #9) Scooters - Sales,3,1,8,143
43920-10,(Mfg #9) ATVs - Sales,3,1,8,162
43910-10,(Mfg #9) Motorcycles - Sales,3,1,8,137
43895-10,(Mfg #8) Trailer - Sales,3,1,8,150
43890-10,(Mfg #8) Engine - Sales,3,1,8,152
43880-10,(Mfg #8) Dirt Bikes - Sales,3,1,8,139
43870-10,(Mfg #8) Boats - Sales,3,1,8,151
43860-10,(Mfg #8) Power Equipment - Sales,3,1,8,152
43855-10,(Mfg #8) Rhino - Sales,3,1,8,145
43850-10,(Mfg #8) Snowmobiles - Sales,3,1,8,149
43840-10,(Mfg #8) Watercraft - Sales,3,1,8,146
43830-10,(Mfg #8) Scooters - Sales,3,1,8,143
43810-10,(Mfg #8) Motorcycles - Sales,3,1,8,137
43795-10,(Mfg #7) Trailer - Sales,3,1,8,150
43790-10,(Mfg #7) Engine - Sales,3,1,8,152
43780-10,(Mfg #7) Dirt Bikes - Sales,3,1,8,139
43775-10,ROXOR Utility Vehicle - Sales,3,1,54,145
43770-10,(Mfg #7) Boats - Sales,3,1,8,151
43760-10,(Mfg #7) Power Equipment - Sales,3,1,8,152
43755-10,(Mfg #7) Rhino - Sales,3,1,8,145
43750-10,(Mfg #7) Snowmobiles - Sales,3,1,8,149
43740-10,(Mfg #7) Watercraft - Sales,3,1,8,146
43730-10,(Mfg #7) Scooters - Sales,3,1,8,143
43720-10,(Mfg #7) ATVs - Sales,3,1,8,162
43710-10,(Mfg #7) Motorcycles - Sales,3,1,8,137
43695-10,(Mfg #6) Trailer - Sales,3,1,4,150
43690-10,(Mfg #6) Engine - Sales,3,1,4,152
43680-10,(Mfg #6) Dirt Bikes - Sales,3,1,4,139
43675-10,CAN-AM Utility Vehicle - Sales,3,1,4,145
43670-10,(Mfg #6) Boats - Sales,3,1,4,151
43660-10,(Mfg #6) Power Equipment - Sales,3,1,4,152
43655-10,CAN-AM Rebates and Sales Bonuses,3,1,4,179
43650-10,(Mfg #6) Snowmobiles - Sales,3,1,4,149
43640-10,(Mfg #6) Watercraft - Sales,3,1,4,146
43630-10,(Mfg #6) Scooters - Sales,3,1,4,143
43620-10,CAN-AM ATVs - Sales,3,1,4,162
43610-10,CAN-AM  Motorcycles - Sales,3,1,4,169
43595-10,(Mfg #5) Trailer - Sales,3,1,33,150
43590-10,(Mfg #5) Engine - Sales,3,1,33,152
43580-10,(Mfg #5) Dirt Bikes - Sales,3,1,33,139
43575-10,BRUTUS Utility Vehicle - Sales,3,1,33,145
43570-10,BRUTUS- Sales,3,1,33,152
43560-10,BRUTUS - Sales,3,1,33,152
43555-10,BRUTUS - Sales,3,1,33,152
43550-10,BRUTUS - Sales,3,1,33,152
43540-10,BRUTUS- Sales,3,1,33,152
43530-10,BRUTUS- Sales,3,1,33,152
43520-10,BRUTUS  - Sales,3,1,33,152
43510-10,BRUTUS Commercial Attachments- Sales,3,1,33,152
43495-10,(Mfg #4) Trailer - Sales,3,1,13,150
43490-10,(Mfg #4) Engine - Sales,3,1,13,152
43480-10,Husq Snow Blowers- - Sales,3,1,13,152
43475-10,"Husq Tiller, Cultivators - Sales",3,1,13,152
43470-10,Husq Lawn Mowers - Sales,3,1,13,152
43460-10,Husq Specialty Turf - Sales,3,1,13,152
43455-10,Husq Garden Tractors - Sales,3,1,13,152
43450-10,Husq Zero-Turn Mowers - Sales,3,1,13,152
43440-10,Husq Blowers - Sales,3,1,13,152
43430-10,"Husq Trimmers, Edgers,Brush Cutter-Sales",3,1,13,152
43420-10,Husq Power Cutters- Sales,3,1,13,152
43410-10,Husq Chain Saws  - Sales,3,1,13,152
43395-10,Polaris Trailer - Sales,3,1,16,150
43390-10,(Mfg #3) Engine - Sales,3,1,16,152
43380-10,(Mfg #3) Dirt Bikes - Sales,3,1,16,139
43375-10,Polaris Utility Vehicle - Sales,3,1,16,145
43370-10,(Mfg #3) Boats - Sales,3,1,16,151
43360-10,(Mfg #3) Power Equipment - Sales,3,1,16,152
43355-10,Polaris Rebates and Sales Bonuses,3,1,16,179
43350-10,(Mfg #3) Snowmobiles - Sales,3,1,16,149
43340-10,Polaris Watercraft - Sales,3,1,16,146
43330-10,SlingShot- Sales,3,1,16,169
43320-10,Polaris  ATVs - Sales,3,1,16,162
43310-10,Victory Motorcycles - Sales,3,1,19,137
43295-10,(Mfg #2) Trailer - Sales,3,1,6,150
43290-10,(Mfg #2) Engine - Sales,3,1,6,152
43280-10,(Mfg #2) Dirt Bikes - Sales,3,1,6,139
43275-10,Kawasaki Utility Vehicle - Sales,3,1,6,145
43270-10,(Mfg #2) Boats - Sales,3,1,6,151
43260-10,(Mfg #2) Power Equipment - Sales,3,1,6,152
43255-10,"Kawasaki Rebates, Incentives & Bonuses",3,1,6,179
43250-10,(Mfg #2) Snowmobiles - Sales,3,1,6,149
43240-10,Kawasaki Watercraft - Sales,3,1,6,146
43230-10,Kawasaki Scooters - Sales,3,1,6,143
43220-10,Kawasaki ATVs - Sales,3,1,6,162
43210-10,Kawasaki Motorcycles - Sales,3,1,6,137
43195-10,(Mfg #1) Trailer - Sales,3,1,3,150
43190-10,(Mfg #1) Engine - Sales,3,1,3,152
43180-10,(Mfg #1) Dirt Bikes - Sales,3,1,3,139
43175-10,Honda Utility Vehicle - Sales,3,1,3,145
43170-10,(Mfg #1) Boats - Sales,3,1,3,151
43160-10,Honda Power Equipment - Sales,3,1,3,152
43155-10,"Honda Rebates, Incentives & Bonuses",3,1,3,179
43150-10,(Mfg #1) Snowmobiles - Sales,3,1,3,149
43140-10,(Mfg #1) Watercraft - Sales,3,1,3,146
43130-10,Honda Scooters - Sales,3,1,3,143
43120-10,Honda ATVs - Sales,3,1,3,162
43110-10,Honda Motorcycles - Sales,3,1,3,137
44930-20,Used Unit Customer Discount,8,1,52,196
43930-10,New Units Customer Discount,3,1,52,181
44900-20,Used Unit Wholesale -Interstore,8,1,33,173
44449-20,Used Sales UTV-CFMOTO,8,1,44,145
44349-20,Used Sales ATV-CFMOTO,8,1,33,162
44049-20,Used Sales Motorcycles-CFMOTO,8,1,44,137
43449-10,New Sales UTV-CFMOTO,3,1,44,145
43349-10,New Sales ATV-CFMOTO,3,1,44,162
43049-10,New Sales Motorcycles-CFMOTO,3,1,44,137
44840-20,Used Sales GOCART-SEGWAY,8,1,33,153
44453-20,Used Sales UTV-SEGWAY,8,1,167,145
44353-20,Used Sales ATV-SEGWAY,8,1,167,162
44253-20,Used Sales Dirt Bikes-SEGWAY,8,1,167,139
44153-20,Used Sales Scooter-SEGWAY,8,1,167,143
43840-10,New Sales GOCART-SEGWAY,3,1,33,153
43453-10,New Sales UTV-SEGWAY,3,1,167,145
43353-10,New Sales ATV-SEGWAY,3,1,167,162
43253-10,New Sales Dirt Bikes-SEGWAY,3,1,167,139
43153-10,New Sales Scooter-SEGWAY,3,1,167,143
44345-20,Used Sales ATV-KAYO,8,1,131,162
44245-20,Used Sales Dirt Bikes-KAYO,8,1,131,139
43345-10,New Sales ATV-KAYO,3,1,131,162
43245-10,New Sales Dirt Bikes-KAYO,3,1,131,139
OFFSET-COMP,Offset Memo Account,3,1,52,191
WHOLESALEMU-COMP,Used Major Unit Sold Count - Wholesale,8,1,33,173
USEDMU-COMP,Used Major Unit Sold Count - Retail,8,1,33,153
NEWMU-COMP,New Major Unit Sold Count - Retail,3,1,52,191
44045-20,Used Sales Trike-Lehman,8,1,103,169
44033-20,Used Sales Trike-CanAm Spyder,8,1,4,169
44025-20,Used Sales Trike-Polaris Slingshot,8,1,16,169
43045-10,New Sales Trike-Lehman,3,1,103,169
43033-10,New Sales Trike-CanAm Spyder,3,1,4,169
43025-10,New Sales Trike-Polaris Slingshot,3,1,16,169
64300-10,New Unit Adjustments,3,2,52,175
64200-10,Wholesale Cost of Sales,3,2,33,173
64190-10,New Other Product COGS - Generators,3,2,33,152
64180-10,New Other Product COGS - Engines,3,2,33,152
64170-10,New Other Product COGS - Trailers,3,2,33,150
64160-10,New Other Product COGS - Boats,3,2,33,151
64150-10,New Other Product COGS - Watercraft,3,2,33,146
64140-10,New Other Product COGS - Snowmobiles,3,2,33,149
64109-10,VIP BOATS COST OF SALE,3,2,33,151
64108-10,BOMBARDIER NEV COST OF SALES,3,2,33,153
64107-10,BOMBARDIER BOAT COST OF SALE,3,2,6,152
64105-10,NEW KAWASAKI GEN - CGS,3,2,4,149
64103-10,Trailers,3,2,33,150
64102-10,New Yamaha Generators,3,2,4,146
64101-10,SEA-DOO/YAM/KAW WATERCRAFT CGS,3,2,33,146
64000-10,Honda Power Equipment Cost of Sales,3,2,3,152
63669-10,New UTV Cost of Sales - Other,3,2,33,145
63667-10,New UTV Cost of Sales - Can-Am,3,2,4,145
63665-10,New UTV Cost of Sales - Polaris,3,2,16,145
63664-10,New UTV Cost of Sales - Yamaha,3,2,8,145
63662-10,New UTV Cost of Sales - Kawasaki,3,2,6,145
63661-10,New UTV Cost of Sales - Honda,3,2,3,145
63559-10,New Dirt Bike Cost of Sales - Other,3,2,33,139
63554-10,New Dirt Bike Cost of Sales - Yamaha,3,2,8,139
63553-10,New Dirt Bike Cost of Sales - Suzuki,3,2,7,139
63552-10,New Dirt Bike Cost of Sales - Kawasaki,3,2,6,139
63551-10,New Dirt Bike Cost of Sales - Honda,3,2,3,139
63102-10,Honda Dirt M/C Cost of Sales,3,2,3,139
641665-10,New Boat COGS - Skeeter,3,2,33,151
641605-10,New Boats COGS - Polaris,3,2,16,151
641910-10,New Sidecars COGS - Harley-Davidson,3,2,23,171
641905-10,New Polaris Generators - Cost of Sales,3,2,16,152
641501-10,New Watercraft COGS - Honda,3,2,3,146
637090-10,New Scooter CGS - Other,3,2,33,143
637040-10,New Scooters CGS - Lance,3,2,33,143
637035-10,New Scooter CGS - E-TON,3,2,12,143
637033-10,New Scooter CGS - Derbi,3,2,33,143
637029-10,New Scooters - Schwinn,3,2,33,143
637011-10,New Scooter CGS - Sundiro,3,2,33,143
637004-10,New Scooter CGS - Yamaha,3,2,8,143
637003-10,New Scooter CGS - Suzuki,3,2,7,143
636090-10,New ATV CGS - Other,3,2,33,162
636035-10,New ATV CGS - Redline,3,2,33,162
636030-10,New ATV CGS - E-TON,3,2,12,162
636021-10,New ATV CGS - Can-Am,3,2,4,162
636020-10,New ATV CGS - Kasea,3,2,33,162
636011-10,New ATV CGS - Sundiro,3,2,33,162
636008-10,New ATV CGS - KTM,3,2,14,162
636006-10,New ATV CGS - Polaris,3,2,16,162
636004-10,New ATV CGS - Yamaha,3,2,8,162
636003-10,New ATV CGS - Suzuki,3,2,7,162
636002-10,New ATV CGS - Kawasaki,3,2,6,162
635090-10,New Motorcycle CGS - Other,3,2,33,137
635030-10,New Trike CGS - Lehman,3,2,103,169
635029-10,New Motorcycle COS - Can-Am,3,2,4,169
635027-10,New Motorcycle CGS - UPC,3,2,33,137
635025-10,New Motorcycle CGS - Ducati,3,2,11,137
635023-10,New Motorcycle CGS - SDG,3,2,33,137
635022-10,New Motorcycle CGS - Derbi,3,2,33,137
635021-10,New Motorcycle COGS - Cannondale,3,2,33,137
635020-10,New Motorcycle CGS - Kasea,3,2,33,137
635019-10,New Motorcycle CGS - American Performanc,3,2,33,137
635018-10,New Motorcycle CGS - Big Dog,3,2,33,137
635017-10,New Motorcycle CGS - Iron Horse,3,2,33,137
635016-10,New Motorcycle CGS - Indian,3,2,3,137
635015-10,New Motorcycle CGS - Buell,3,2,33,137
635014-10,New Motorcycle CGS - SLNG,3,2,33,137
635013-10,New Motorcycle CGS - Bourget,3,2,33,137
635012-10,New Motorcycle CGS - HM,3,2,33,137
635011-10,New Motorcycle CGS - Sundiro,3,2,33,137
635010-10,New Motorcycle CGS - Harley,3,2,23,171
635009-10,New Motorcycle CGS - Triumph,3,2,17,137
